Similarity,TypeItem,Sequence,Performance
0,1,0.75,0.458333333
0,1,0.25,0.166666667
0,1,0.75,0.375
0,1,0.25,0.25
0,1,0.75,0.625
0,1,0.25,0.916666667
0,1,0.75,0.416666667
0,1,0.25,0.5
0,1,0.75,0.25
0,1,0.25,0.958333333
0,1,0.75,0.333333333
0,1,0.25,0.583333333
0,1,0.75,0.708333333
0,1,0.25,0.25
0,1,0.75,0.791666667
0,1,0.25,0.25
0,1,0.75,0.375
0,1,0.25,0.75
0,1,0.75,0.25
0,1,0.25,0.75
0,1,0.75,0.208333333
0,1,0.25,0.75
0,1,0.75,0.666666667
0,1,0.25,0.708333333
0,1,0.75,0.375
0,1,0.25,0.875
0,1,0.75,0.375
0,1,0.25,0.875
0,1,0.75,0.333333333
0,1,0.25,0.583333333
0,1,0.75,0.666666667
0,1,0.25,0.583333333
0,1,0.75,0.708333333
0,1,0.25,1
0,1,0.75,0.666666667
0,1,0.25,0.5
0,1,0.75,0.333333333
0,1,0.25,0.291666667
0,1,0.75,0.333333333
0,1,0.25,0.791666667
0,1,0.75,0.291666667
0,1,0.25,0.125
0,1,0.75,1
0,1,0.25,0.583333333
0,1,0.75,0.583333333
0,1,0.25,0.541666667
0,1,0.75,0.291666667
0,1,0.25,0.75
0,1,0.75,0.666666667
0,1,0.25,0.625
0,1,0.75,0.5
0,1,0.25,0.666666667
0,1,0.75,0.291666667
0,1,0.25,0.625
0,1,0.75,0.333333333
0,1,0.25,0.333333333
1,1,0.75,0.375
1,1,0.25,0.333333333
1,1,0.75,0.958333333
1,1,0.25,0.375
1,1,0.75,0.875
1,1,0.25,0.875
1,1,0.75,0.708333333
1,1,0.25,0.625
1,1,0.75,0.75
1,1,0.25,0.666666667
1,1,0.75,0.666666667
1,1,0.25,0.375
1,1,0.75,0.708333333
1,1,0.25,0.916666667
1,1,0.75,1
1,1,0.25,0.458333333
1,1,0.75,0.5
1,1,0.25,0.583333333
1,1,0.75,0.833333333
1,1,0.25,0.541666667
1,1,0.75,0.375
1,1,0.25,0.541666667
1,1,0.75,1
1,1,0.25,0.916666667
1,1,0.75,0.541666667
1,1,0.25,0.208333333
1,1,0.75,0.458333333
1,1,0.25,0.333333333
1,1,0.75,0.75
1,1,0.25,0.375
1,1,0.75,0.625
1,1,0.25,0.958333333
1,1,0.75,0.875
1,1,0.25,0.875
1,1,0.75,0.583333333
1,1,0.25,0.458333333
1,1,0.75,0.416666667
1,1,0.25,0.375
1,1,0.75,0.708333333
1,1,0.25,0.791666667
1,1,0.75,1
1,1,0.25,0.666666667
1,1,0.75,0.958333333
1,1,0.25,0.958333333
1,1,0.75,0.833333333
1,1,0.25,0.666666667
1,1,0.75,0.416666667
1,1,0.25,0.25
1,1,0.75,0.458333333
1,1,0.25,0.583333333
1,1,0.75,0.916666667
1,1,0.25,0.791666667
1,1,0.75,0.541666667
1,1,0.25,0.583333333
1,1,0.75,0.708333333
1,1,0.25,0.625
1,1,0.75,0.333333333
1,1,0.25,0.375
1,1,0.75,0.333333333
1,1,0.25,0.541666667
1,1,0.75,0.916666667
1,1,0.25,0.583333333
1,1,0.75,0.5
1,1,0.25,0.458333333
0,0,0.75,0.291666667
0,0,0.25,0.375
0,0,0.75,0.208333333
0,0,0.25,0.291666667
0,0,0.75,0.625
0,0,0.25,0.916666667
0,0,0.75,0.541666667
0,0,0.25,0.333333333
0,0,0.75,0.375
0,0,0.25,0.958333333
0,0,0.75,0.333333333
0,0,0.25,0.583333333
0,0,0.75,0.666666667
0,0,0.25,0.333333333
0,0,0.75,0.708333333
0,0,0.25,0.333333333
0,0,0.75,0.333333333
0,0,0.25,0.583333333
0,0,0.75,0.416666667
0,0,0.25,0.541666667
0,0,0.75,0.375
0,0,0.25,0.583333333
0,0,0.75,0.583333333
0,0,0.25,0.583333333
0,0,0.75,0.458333333
0,0,0.25,0.583333333
0,0,0.75,0.25
0,0,0.25,0.625
0,0,0.75,0.5
0,0,0.25,0.666666667
0,0,0.75,0.75
0,0,0.25,0.583333333
0,0,0.75,0.625
0,0,0.25,1
0,0,0.75,0.666666667
0,0,0.25,0.583333333
0,0,0.75,0.291666667
0,0,0.25,0.25
0,0,0.75,0.25
0,0,0.25,0.958333333
0,0,0.75,0.416666667
0,0,0.25,0.375
0,0,0.75,0.916666667
0,0,0.25,0.75
0,0,0.75,0.541666667
0,0,0.25,0.75
0,0,0.75,0.5
0,0,0.25,0.583333333
0,0,0.75,0.625
0,0,0.25,0.625
0,0,0.75,0.708333333
0,0,0.25,0.666666667
0,0,0.75,0.583333333
0,0,0.25,0.75
0,0,0.75,0.416666667
0,0,0.25,0.541666667
1,0,0.75,0.333333333
1,0,0.25,0.416666667
1,0,0.75,0.958333333
1,0,0.25,0.916666667
1,0,0.75,1
1,0,0.25,0.958333333
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.875
1,0,0.25,0.875
1,0,0.75,0.75
1,0,0.25,0.916666667
1,0,0.75,0.708333333
1,0,0.25,1
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.875
1,0,0.25,1
1,0,0.75,1
1,0,0.25,0.916666667
1,0,0.75,0.416666667
1,0,0.25,0.75
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.958333333
1,0,0.25,0.625
1,0,0.75,0.666666667
1,0,0.25,0.791666667
1,0,0.75,0.875
1,0,0.25,0.791666667
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.958333333
1,0,0.25,1
1,0,0.75,0.791666667
1,0,0.25,0.75
1,0,0.75,0.416666667
1,0,0.25,0.708333333
1,0,0.75,0.833333333
1,0,0.25,1
1,0,0.75,0.958333333
1,0,0.25,0.708333333
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.958333333
1,0,0.25,1
1,0,0.75,0.958333333
1,0,0.25,0.916666667
1,0,0.75,0.791666667
1,0,0.25,0.833333333
1,0,0.75,1
1,0,0.25,1
1,0,0.75,0.75
1,0,0.25,0.875
1,0,0.75,0.833333333
1,0,0.25,0.958333333
1,0,0.75,0.291666667
1,0,0.25,0.5
1,0,0.75,0.833333333
1,0,0.25,0.791666667
1,0,0.75,0.958333333
1,0,0.25,0.666666667
1,0,0.75,0.875
1,0,0.25,1